Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,Country,Geocode Status,Latitude,Longitude,Open Date,Date Last Confirmed,ID,Updated At,Owner Type Code,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,EV Connector Types,Facility Type,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging,Federal Funding Types,CN_idx,CN_lon,CN_lat,CN_err
ELEC,THE SHORE THE SHORE 21,800 Sierra Point Parkway,Brisbane,CA,94005,,US,GPS,37.673524,-122.38245,2022-10-14,2024-07-09,233427.0,2024-07-09 01:21:38 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,522089307,-122.3820544,37.6738775,52.510197179681164
ELEC,republic urban properties 1096 Lincoln Ave,1096 Lincoln Ave,San Jose,CA,95125,,US,GPS,37.30884416,-121.900842259,2022-09-12,2024-06-23,234429.0,2024-06-23 03:15:38 UTC,,E,,Public,Mon 5:00am - 9:00pm; Tue 5:00am - 9:00pm; Wed 5:00am - 9:00pm; Thu 5:00am - 9:00pm; Fri 5:00am - 9:00pm; Sat 9:00am - 9:00pm; Sun 9:00am - 9:00pm,0.0,4.0,0.0,,Volta,https://voltacharging.com/,J1772,,,,False,LD,False,,2338716754,-121.9010867,37.3084733,46.561115362395306
ELEC,Solar4America Ice at San Jose Front Entrance,1500 South 10th Street,San Jose,CA,95112,,US,GPS,37.318588029,-121.864076848,2022-09-22,2024-06-23,234435.0,2024-06-23 03:14:49 UTC,,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,0.0,2.0,0.0,,Volta,https://voltacharging.com/,J1772,,,,False,LD,False,,3614092065,-121.8655722,37.3198983,196.7564513236434
ELEC,"Kohl's, Pleasant Hill CA",2302 Monument Blvd,Pleasant Hill,CA,94523,,US,GPS,37.944055374,-122.057445443,2022-09-26,2024-06-23,234442.0,2024-06-23 03:19:54 UTC,,E,,Public,Mon 7:00am - 9:00pm; Tue 7:00am - 9:00pm; Wed 7:00am - 9:00pm; Thu 7:00am - 9:00pm; Fri 7:00am - 9:00pm; Sat 7:00am - 9:00pm; Sun 7:00am - 9:00pm,0.0,2.0,0.0,,Volta,https://voltacharging.com/,J1772,,,,False,LD,False,,5240567976,-122.057918,37.9446759,80.4863261769527
ELEC,BAR 6805 SILACC BRAM STATION1,6805 Silacci Way,Gilroy,CA,95020,,US,GPS,37.002106,-121.54859,2022-10-15,2024-07-09,234479.0,2024-07-09 01:42:16 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,7029671070,-121.5501855,37.0014502,159.3484848245663
ELEC,MB OF SANTA ROS VO SVC CUSTOMER,2881 Corby Ave,Santa Rosa,CA,95407,,US,GPS,38.40739,-122.717476,2022-10-15,2024-07-09,234487.0,2024-07-09 01:44:50 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,56099337,-122.7164085,38.4067591,116.5049254839487
ELEC,ESSEX 420-G1,420 Station Park Cir,San Mateo,CA,94402,,US,GPS,37.555253,-122.307602,2022-10-19,2024-07-09,234619.0,2024-07-09 01:32:37 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,65472776,-122.3071204,37.555269,42.49110342342328
ELEC,"M DALY, INC STATION 2",505 Serramonte Blvd,Daly City,CA,94015,,US,GPS,37.668847,-122.469879,2022-10-19,2024-07-09,234623.0,2024-07-09 01:43:04 UTC,,E,,Public,24 hours daily,0.0,1.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,904979813,-122.468996,37.6690873,82.18400340291335
ELEC,"M DALY, INC STATION 1",505 Serramonte Blvd,Daly City,CA,94015,,US,GPS,37.668891,-122.470032,2022-10-19,2024-07-09,234624.0,2024-07-09 01:43:05 UTC,,E,,Public,24 hours daily,0.0,1.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,904979813,-122.468996,37.6690873,93.7616754170121
ELEC,UNION SANITARY USD 3,5072 Benson Rd,Union City,CA,94587,,US,GPS,37.593066,-122.089953,2022-10-19,2024-07-09,234633.0,2024-07-09 01:45:04 UTC,,E,,Public,24 hours daily,0.0,2.0,0.0,,ChargePoint Network,http://www.chargepoint.com/,J1772,,,,,,False,,349925820,-122.0903715,37.5939658,106.63138924734567
